Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2015-06;39;22.5;12.3;3.5;5.7;5.4;4.5;4.4;1.5;1.2
2015-05;38;24;12;3.6;5.8;5.2;4.6;4.1;1.5;1.4
2015-04;39.5;23;11;3.6;5.6;5.7;4.9;4;1.4;1
2015-03;41.4;22.7;10.4;3.6;5.8;5.5;4.5;3.2;1.5;1
2015-02;41.9;21.3;11.2;3.9;5.7;5.3;4.7;3.6;1.4;1.1
2015-01;41.5;22.6;11.3;3.7;5.4;5.3;4.6;3.4;1.2;1.1
2014-12;41.4;22.5;11.3;3.8;5.2;5.4;4.7;3.5;1.3;0.9
2014-11;40.2;22.6;11.5;3.9;5.3;5.9;4.7;3.5;1.4;1
2014-10;37.3;25.2;13.5;3.6;5.2;4.7;4.6;3.6;1.3;1.1
2014-09;35;26.6;14.1;3.6;5;5.1;4.8;3.5;1.2;1
2014-08;34.5;26.9;13.9;3.9;5.2;5.1;4.7;3.7;1.2;1.2
2014-07;36.3;26.8;12.3;3;5.3;4.6;5.3;3.6;1.5;1.2
2014-06;35;26.3;13.8;3.5;5.3;5.2;4.8;3.6;1.3;1.3
2014-05;33.9;26.9;13.7;4;5.1;5.3;5.2;3.4;1.3;1.2
2014-04;34.2;27.5;14;3.7;4.5;5.4;5.3;3;1.3;1.3
2014-03;34.6;26.9;14.3;3.8;4.9;5;5.1;3.1;1.4;1.1
2014-02;33.8;28.7;13.3;3.9;4.9;5.3;4.8;3;1.2;1.1
2014-01;33.5;29.1;13.6;3.9;4.5;5.3;4.7;3.1;1.2;1.2
2013-12;33.3;27.8;14.2;3.9;4.8;5.4;5.2;2.9;1.2;1.3
2013-11;32.2;27.9;14.5;4;5;5.4;5.4;3.3;1.2;1.1
2013-10;31.9;27.8;14.6;4.1;4.7;5.5;5.6;3.2;1.3;1.3
2013-09;29.7;27;15.9;4.8;5.1;6;5.5;3.2;1.4;1.4
2013-08;29;28.9;15.2;4.3;5.3;5.4;5.3;3.5;1.5;1.5
2013-07;28;31.6;16.2;3.9;4.6;5.2;5.2;2.3;1.9;1.2
2013-06;28.6;32;16.4;4.3;4.5;5.3;4.2;1.5;1.5;1.5
2013-05;28.9;31.8;16;4.7;4.5;5.3;4.7;1.4;1.5;1.3
2013-04;27.7;32.6;16.5;5;4.8;5.1;4.5;1;1.5;1.4
2013-03;28.1;32.4;16.8;4.4;4.8;5.2;4.7;1;1.4;1.1
2013-02;28.4;32.9;15.6;4.9;4.7;5.3;4.5;0.9;1.4;1.3
2013-01;28.6;33.6;15.9;4.1;4.4;5.5;4.4;0.6;1.4;1.3
2012-12;28.6;32;16.2;4.3;4.7;5.3;5.2;0.6;1.8;1.2
2012-11;29.6;31.4;17;4.4;4.5;5;4.9;0.3;1.5;1.2
2012-10;27.8;33.9;17.2;4.1;4.4;5;4.5;0.5;1.4;1.3
2012-09;29.2;33.5;16.6;3.9;4.3;5.2;3.9;0.6;1.8;1
2012-08;30.2;31.6;17.3;4;4.4;4.6;4.7;0.2;1.7;1.3
2012-07;29.8;30.5;18.4;3.9;4.8;5;4.4;0.2;1.2;1.5
2012-06;29.9;32;16.2;4.3;4.7;4.7;4.8;0.1;1.5;1.8
2012-05;30.8;30.9;16;4.2;4.6;5.1;4.7;0.2;1.5;1.9
2012-04;30.5;29.4;17.3;4.5;5.1;5.1;5.2;0.2;1.4;1.4
2012-03;32.9;27.9;16.3;4.5;5.3;5.4;4.6;0.2;1.3;1.7
2012-02;34.4;27.9;14.4;4.8;5.1;5.1;5.3;0;1.3;1.6
2012-01;34.7;29.3;13.7;4.1;5;5.3;4.9;0;1.7;1.3
2011-12;32.7;29.6;15;4.2;5.2;5.4;5.1;0;1.3;1.6
2011-11;32.7;29.1;15.2;4.4;5.3;5.1;5.2;0;1.5;1.5
2011-10;33.9;29.3;13.8;4.5;4.6;5.3;4.9;0;1.7;1.8
2011-09;34;27.1;16.5;4.3;5.2;4.7;5.4;0;1.6;1.4
2011-08;38.4;22.5;17.2;5.3;4.5;5.1;4.1;0;1.5;1.2
2011-07;31.2;27;19.7;5.5;4.5;4.9;4.4;0;1.3;1.1
2011-06;29.1;29;19.1;5.2;5;5.4;4.3;0;1.6;1.2
2011-05;29.9;27.3;19.2;5.6;5.1;4.9;5.3;0;1.6;1.1
2011-04;29.3;27;18.9;5.8;5.3;5;5.3;0;1.6;1.7
2011-03;28.2;27.2;22.2;6;4.9;4.4;4.1;0;1.6;1.3
2011-02;27.7;26.2;23.2;5.7;4.9;4.8;4.8;0;1.5;1.2
2011-01;27.5;26.3;23.8;5.5;4.9;4.6;4.3;0;1.5;1.5
2010-12;26.1;26.1;25.3;5.8;4.9;4.7;4.2;0;1.5;1.4
2010-11;27.7;26.2;24.1;5.5;4.9;4.6;4.4;0;1.5;1
2010-10;28.9;26.1;23.6;5.4;4.7;4.3;4.1;0;1.6;1.3
2010-09;27.5;27.2;22.9;5.5;5;4.6;4.5;0;1.6;1.2
2010-08;26.6;27.1;22.8;5.6;5;5.3;4.6;0;1.8;1.2
2010-07;29;25.5;22.3;5.6;5.4;5.1;4.3;0;1.4;1.5
2010-06;28.7;24.9;23.5;6.1;5.3;4.9;3.8;0;1.5;1.3
2010-05;30.2;24.3;22.6;5.9;5.4;4.9;4.1;0;1.3;1.3
2010-04;29.8;23.6;23.9;6.2;5.2;5;3.8;0;1.3;0.6
2010-03;31.1;22.2;23.7;6.2;5.2;4.8;4.1;0;1.6;0.3
2010-02;32.6;22.4;22.7;6.5;5.1;4.3;3.9;0;1.5;0
2010-01;31.3;21.5;23.4;6.5;5.5;5.3;4;0;1.5;0
2009-12;30.7;21.5;23.1;7.2;5.4;5.4;4.1;0;1.8;0
2009-11;34;20.1;21.9;6;5.8;5.8;4.1;0;1.4;0
2009-10;35.3;19.3;22.8;6.1;5.4;4.4;4.1;0;0;0
2009-09;32.6;16.2;23;7.1;6;6.4;5.3;0;0;0
2009-08;32.3;14.1;25.6;7.5;5.9;6.1;5.3;0;0;0
2009-07;33.5;13.1;27.5;7.1;5.2;6;4.9;0;0;0
2009-06;32.8;13.6;26.1;7.2;5.7;5.9;5.6;0;0;0
2009-05;32.9;13.8;26.4;7.5;5;6;5.4;0;0;0
2009-04;32.4;13.9;27.2;7.1;5.8;6;4.9;0;0;0
2009-03;32.8;13.8;27.3;7;5.5;6.2;5;0;0;0
2009-02;34;15.2;23.9;7.1;5;5.9;6.1;0;0;0
2009-01;33.9;16.1;23.2;7.5;5.5;6;4.8;0;0;0
2008-12;30.7;17.4;23.7;7.8;5.7;6.3;5.5;0;0.4;0
2008-11;31.4;15.9;24.2;7.8;5.5;6.6;5.8;0;1.4;0
2008-10;30.6;16.1;26.7;7.3;5.3;5.6;5.5;0;1.2;0
2008-09;28.9;15.2;29.9;6.3;5;5.7;5.9;0;1.5;0
2008-08;26.6;16.2;30.9;6.7;5.2;5.5;6;0;1.7;0
2008-07;26.9;17.2;30.2;6.6;4.7;6.1;5.4;0;1.9;0
2008-06;26;17.6;28.9;6.9;5.3;6.1;5.9;0;1.8;0
2008-05;28.9;17.8;25.9;6.7;5.7;6.2;6.2;0;1.4;0
2008-04;29;16.9;25.4;6.5;5.5;7;6.8;0;1.2;0
2008-03;28.7;18.1;25.2;7;5.6;6.1;6.3;0;1.1;0
2008-02;29;17.3;25.2;6.7;5.9;6.3;6.6;0;1.3;0
2008-01;29.3;17.2;23.9;7.4;6.1;6.4;6.5;0;1.3;0
